clip_id,rater,elbow,asymmetry,shoulder,trunk,head,confidence
P01_ASY_rep1,R1,0,1,0,0,0,3
P01_ASY_rep1,R2,0,1,0,0,0,3
P01_ASY_rep2,R1,0,1,0,0,0,3
P01_ASY_rep2,R2,0,1,0,0,0,3
P01_ASY_rep3,R1,0,1,0,0,0,3
P01_ASY_rep3,R2,0,1,0,0,0,3
P01_ASY_rep4,R1,0,1,0,0,0,3
P01_ASY_rep4,R2,0,1,0,0,0,3
P01_ASY_rep5,R1,0,1,0,0,0,3
P01_ASY_rep5,R2,0,1,0,0,0,3
P01_COR_rep10,R1,0,0,0,0,0,3
P01_COR_rep10,R2,0,0,0,0,0,3
P01_COR_rep2,R1,0,0,0,0,0,3
P01_COR_rep2,R2,0,0,0,0,0,3
P01_COR_rep3,R1,0,0,0,0,0,3
P01_COR_rep3,R2,0,0,0,0,0,3
P01_COR_rep4,R1,0,0,0,0,0,3
P01_COR_rep4,R2,0,0,0,0,0,3
P01_COR_rep5,R1,0,0,0,0,0,3
P01_COR_rep5,R2,0,0,0,0,0,3
P01_COR_rep6,R1,0,0,0,0,0,3
P01_COR_rep6,R2,0,0,0,0,0,3
P01_COR_rep7,R1,0,0,0,0,0,3
P01_COR_rep7,R2,0,0,0,0,0,3
P01_COR_rep8,R1,0,0,0,0,0,3
P01_COR_rep8,R2,0,0,0,0,0,3
P01_COR_rep9,R1,0,0,0,0,0,3
P01_COR_rep9,R2,0,0,0,0,0,3
P01_ELB_rep1,R1,1,0,0,0,0,3
P01_ELB_rep1,R2,1,0,0,0,0,3
P01_ELB_rep2,R1,1,0,0,0,0,3
P01_ELB_rep2,R2,1,0,0,0,0,3
P01_ELB_rep3,R1,1,0,0,0,0,3
P01_ELB_rep3,R2,1,0,0,0,0,3
P01_ELB_rep4,R1,1,0,0,0,0,3
P01_ELB_rep4,R2,1,0,0,0,0,3
P01_ELB_rep5,R1,1,0,0,0,0,3
P01_ELB_rep5,R2,1,0,0,0,0,3
P01_HED_rep2,R1,0,0,0,0,1,3
P01_HED_rep2,R2,0,0,0,0,1,3
P01_HED_rep3,R1,0,0,0,0,1,3
P01_HED_rep3,R2,0,1,0,0,1,2
P01_HED_rep4,R1,0,0,0,0,1,3
P01_HED_rep4,R2,0,0,0,0,1,3
P01_HED_rep5,R1,0,0,0,0,1,3
P01_HED_rep5,R2,0,0,0,0,1,3
P01_SHR_rep1,R1,0,0,1,0,0,1
P01_SHR_rep1,R2,0,0,1,0,0,1
P01_SHR_rep2,R1,0,0,1,0,0,3
P01_SHR_rep2,R2,0,0,1,0,0,3
P01_SHR_rep3,R1,0,0,1,0,0,2
P01_SHR_rep3,R2,0,0,1,0,0,3
P01_SHR_rep4,R1,0,0,1,0,0,3
P01_SHR_rep4,R2,0,0,1,0,0,3
P01_SHR_rep5,R1,0,0,1,0,0,3
P01_SHR_rep5,R2,0,0,1,0,0,3
P01_TRK_rep1,R1,0,0,0,1,0,2
P01_TRK_rep1,R2,0,0,1,1,0,3
P01_TRK_rep2,R1,0,0,0,1,0,3
P01_TRK_rep2,R2,0,1,0,1,0,3
P01_TRK_rep3,R1,0,0,0,1,0,3
P01_TRK_rep3,R2,0,0,0,1,0,3
P01_TRK_rep4,R1,0,1,0,1,0,2
P01_TRK_rep4,R2,0,1,0,1,0,2
P01_TRK_rep5,R1,0,0,0,1,0,2
P01_TRK_rep5,R2,0,1,0,1,0,2
P02_ASY_rep1,R1,0,1,0,0,0,2
P02_ASY_rep1,R2,0,1,1,0,0,2
P02_ASY_rep2,R1,0,1,0,0,0,2
P02_ASY_rep2,R2,0,1,0,0,0,3
P02_ASY_rep3,R1,0,1,0,0,0,2
P02_ASY_rep3,R2,0,1,0,0,0,3
P02_ASY_rep4,R1,0,1,0,0,0,3
P02_ASY_rep4,R2,0,1,0,0,0,3
P02_ASY_rep5,R1,1,1,0,0,0,2
P02_ASY_rep5,R2,0,1,0,0,0,3
P02_COR_rep10,R1,0,0,0,0,0,3
P02_COR_rep10,R2,0,0,0,0,0,3
P02_COR_rep2,R1,0,0,0,0,0,3
P02_COR_rep2,R2,0,0,0,0,0,3
P02_COR_rep3,R1,0,0,0,0,0,3
P02_COR_rep3,R2,0,0,0,0,0,3
P02_COR_rep4,R1,0,0,0,0,0,3
P02_COR_rep4,R2,0,0,0,0,0,3
P02_COR_rep5,R1,0,0,0,0,0,3
P02_COR_rep5,R2,0,0,0,0,0,3
P02_COR_rep6,R1,0,0,0,0,0,2
P02_COR_rep6,R2,0,0,0,0,0,3
P02_COR_rep7,R1,0,1,0,0,0,1
P02_COR_rep7,R2,0,0,0,0,0,3
P02_COR_rep8,R1,0,0,0,0,0,2
P02_COR_rep8,R2,0,0,0,0,0,3
P02_COR_rep9,R1,0,0,0,0,0,2
P02_COR_rep9,R2,0,0,0,0,0,3
P02_ELB_rep2,R1,1,0,0,0,0,2
P02_ELB_rep2,R2,1,1,0,0,0,2
P02_ELB_rep3,R1,1,0,0,0,0,2
P02_ELB_rep3,R2,0,0,1,0,0,3
P02_ELB_rep4,R1,0,1,0,0,0,2
P02_ELB_rep4,R2,1,1,0,0,0,2
P02_ELB_rep5,R1,1,0,0,0,0,2
P02_ELB_rep5,R2,1,0,0,0,0,3
P02_HED_rep1,R1,0,0,1,0,1,2
P02_HED_rep1,R2,0,0,1,0,1,2
P02_HED_rep2,R1,0,1,0,0,1,2
P02_HED_rep2,R2,0,0,1,0,1,2
P02_HED_rep3,R1,0,0,0,0,1,3
P02_HED_rep3,R2,0,0,0,0,1,3
P02_HED_rep4,R1,0,0,0,1,1,2
P02_HED_rep4,R2,0,0,0,0,1,3
