clip_id,agreed,elbow,asymmetry,shoulder,trunk,head
P01_ASY_rep1,1,0,1,0,0,0
P01_ASY_rep2,1,0,1,0,0,0
P01_ASY_rep3,1,0,1,0,0,0
P01_ASY_rep4,1,0,1,0,0,0
P01_ASY_rep5,1,0,1,0,0,0
P01_COR_rep10,1,0,0,0,0,0
P01_COR_rep2,1,0,0,0,0,0
P01_COR_rep3,1,0,0,0,0,0
P01_COR_rep4,1,0,0,0,0,0
P01_COR_rep5,1,0,0,0,0,0
P01_COR_rep6,1,0,0,0,0,0
P01_COR_rep7,1,0,0,0,0,0
P01_COR_rep8,1,0,0,0,0,0
P01_COR_rep9,1,0,0,0,0,0
P01_ELB_rep1,1,1,0,0,0,0
P01_ELB_rep2,1,1,0,0,0,0
P01_ELB_rep3,1,1,0,0,0,0
P01_ELB_rep4,1,1,0,0,0,0
P01_ELB_rep5,1,1,0,0,0,0
P01_HED_rep2,1,0,0,0,0,1
P01_HED_rep3,0,,,,,
P01_HED_rep4,1,0,0,0,0,1
P01_HED_rep5,1,0,0,0,0,1
P01_SHR_rep1,1,0,0,1,0,0
P01_SHR_rep2,1,0,0,1,0,0
P01_SHR_rep3,1,0,0,1,0,0
P01_SHR_rep4,1,0,0,1,0,0
P01_SHR_rep5,1,0,0,1,0,0
P01_TRK_rep1,0,,,,,
P01_TRK_rep2,0,,,,,
P01_TRK_rep3,1,0,0,0,1,0
P01_TRK_rep4,1,0,1,0,1,0
P01_TRK_rep5,0,,,,,
P02_ASY_rep1,0,,,,,
P02_ASY_rep2,1,0,1,0,0,0
P02_ASY_rep3,1,0,1,0,0,0
P02_ASY_rep4,1,0,1,0,0,0
P02_ASY_rep5,0,,,,,
P02_COR_rep10,1,0,0,0,0,0
P02_COR_rep2,1,0,0,0,0,0
P02_COR_rep3,1,0,0,0,0,0
P02_COR_rep4,1,0,0,0,0,0
P02_COR_rep5,1,0,0,0,0,0
P02_COR_rep6,1,0,0,0,0,0
P02_COR_rep7,0,,,,,
P02_COR_rep8,1,0,0,0,0,0
P02_COR_rep9,1,0,0,0,0,0
P02_ELB_rep2,0,,,,,
P02_ELB_rep3,0,,,,,
P02_ELB_rep4,0,,,,,
P02_ELB_rep5,1,1,0,0,0,0
P02_HED_rep1,1,0,0,1,0,1
P02_HED_rep2,0,,,,,
P02_HED_rep3,1,0,0,0,0,1
P02_HED_rep4,0,,,,,
P02_HED_rep5,1,0,0,0,0,1
P02_SHR_rep1,1,0,0,1,0,0
P02_SHR_rep2,1,0,0,1,0,0
P02_SHR_rep3,1,0,0,1,0,0
P02_SHR_rep4,1,0,0,1,0,0
P02_SHR_rep5,1,0,0,1,0,0
P02_TRK_rep1,0,,,,,
P02_TRK_rep2,1,0,1,0,1,0
P02_TRK_rep3,1,0,1,0,1,0
P02_TRK_rep4,0,,,,,
P02_TRK_rep5,0,,,,,
P03_ASY_rep1,1,0,1,0,0,0
P03_ASY_rep2,1,0,1,0,0,0
P03_ASY_rep3,1,0,1,0,0,0
