clip_id,participant_id,cohort,condition,repetition,pred_elbow,pred_asymmetry,pred_shoulder,pred_trunk,pred_head,elbow_sustained_deg,asymmetry_sustained_deg,shoulder_sustained,trunk_sustained_rad,head_sustained_deg,elbow_min_deg,asymmetry_max_deg,shoulder_max,trunk_max_rad,head_max_deg,n_frames,duration_ms,fps
P01_ASY_rep1,P01,detection,ASY,1,0,1,1,0,0,174.078,15.4514,0.192393,0.023115,2.58167,171.309,29.9062,0.201279,0.0339558,2.73664,38,1234,30.0
P01_ASY_rep2,P01,detection,ASY,2,0,1,1,0,0,172.18,31.5932,0.181576,0.0147812,2.4306,170.121,41.3272,0.191234,0.0180616,2.67979,44,1433,30.0
P01_ASY_rep3,P01,detection,ASY,3,0,1,1,0,0,172.667,34.862,0.179065,0.0196932,2.12049,170.408,38.6775,0.187757,0.023722,2.57147,47,1534,30.0
P01_ASY_rep4,P01,detection,ASY,4,0,1,1,0,0,171.664,29.5393,0.180224,0.018273,2.08377,169.489,32.4068,0.189496,0.0199421,2.40895,48,1566,30.0
P01_ASY_rep5,P01,detection,ASY,5,0,1,1,0,0,173.374,31.9604,0.179065,0.019647,1.82676,170.949,36.4842,0.185246,0.0226063,1.94587,44,1434,30.0
P01_COR_rep2,P01,detection,COR,2,0,0,0,0,0,170.589,3.61887,0.149781,0.00778339,1.0659,169.918,4.59117,0.156143,0.0108572,1.43171,41,1333,30.0
P01_COR_rep3,P01,detection,COR,3,0,0,0,0,0,169.28,4.18454,0.141685,0.0142028,0.993189,168.07,5.70784,0.144191,0.0162503,1.05352,45,1467,30.0
P01_COR_rep4,P01,detection,COR,4,0,0,0,0,0,169.823,6.30266,0.137444,0.0127681,0.727309,168.649,9.50812,0.141107,0.0139125,1.06375,43,1400,30.0
P01_COR_rep5,P01,detection,COR,5,0,0,0,0,0,170.181,3.43973,0.133396,0.0157148,0.802432,169.022,5.96986,0.138408,0.0171157,0.931878,42,1367,30.0
P01_COR_rep6,P01,detection,COR,6,0,0,0,0,0,170.27,3.7252,0.136866,0.0136909,1.43047,168.71,4.26252,0.140143,0.0165135,1.5415,48,1566,30.0
